denuncia_fecha,denuncia_previa,derivacion_seguimiento,llamante_anonimo,llamante_genero,llamante_rango_etario,llamante_provincia,llamante_es_victima,victima_genero,victima_rango_etario,victima_discapacidad,victima_embarazada,victima_provincia_origen,victima_cantidad,victima_nacionalidad,denunciado_genero,denunciado_rango_etario,denunciado_provincia,connivencia_fuerzas_seguridad,connivencia_poder_politico,hecho_provincia,denuncia_tipo_explotacion,denuncia_via_ingreso,acercamiento_tipo,derivacion_organismo,derivacion_fecha,llamante_provincia_indec_id,victima_provincia_origen_indec_id,denunciado_provincia_indec_id,hecho_provincia_indec_id
2018-06-23,No,No,Sí,Femenino,0 a 13,Chubut,Sin datos,Femenino,16 a 17 (específico para trabajo adolescente),No,No,Buenos Aires,2,Argentina,,0 a 13,Buenos Aires,No,No,Buenos Aires,Explotación sexual,Línea 145,Otros,Protex,2018-06-23,26,6,6,6
2018-06-23,No,No,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,14 a 16,No,No,Sin dato/no contesta,2,Extranjera,,0 a 13,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,Otros,Fuerzas de seguridad federal,2018-06-23,,,,
2018-06-23,Sí,No,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,14 a 16,No,No,Sin dato/no contesta,2,Extranjera,,0 a 13,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,Otros,Fuerzas de seguridad federal,2018-06-23,,,,
2018-06-24,Sí,No,Sí,Femenino,0 a 13,Chubut,Sí,Masculino,0 a 13,No,No,Ciudad Autónoma de Buenos Aires,11,No refiere,,14 a 16,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación laboral,Teléfono institucional (no salientes),Internet,Fuerzas de seguridad federal,2018-06-24,26,,,
2018-06-24,Sí,No,Sí,No sabe/no contesta,14 a 16,Chubut,Sí,Femenino,16 a 17 (específico para trabajo adolescente),No,No,Ciudad Autónoma de Buenos Aires,30,Extranjera,,26 a 40,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,TV,Area legal ya judicializada,2018-06-24,26,,,
2018-06-24,No,No,No,No sabe/no contesta,0 a 13,Chubut,Sin datos,Femenino,26 a 40,No,No,Sin dato/no contesta,1,Extranjera,,No refiere,Ciudad Autónoma de Buenos Aires,No,No,Buenos Aires,Posible captación,Línea 145,TV,Fuerzas de seguridad federal,2018-06-24,26,,,6
2018-06-24,No,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,No refiere,No,No,Buenos Aires,7,Extranjera,,14 a 16,Buenos Aires,No,No,Buenos Aires,Explotación sexual,Línea 145,Otros,Protex,2018-06-25,,6,6,6
2018-06-25,No,No,Sí,No sabe/no contesta,14 a 16,Chubut,Sin datos,Femenino,No refiere,No,No,Sin dato/no contesta,0,No refiere,,No refiere,Sin dato/no contesta,No,No,Mendoza,Explotación sexual,Línea 145,TV,Área legal para judicializar,2018-06-25,26,,,50
2018-06-25,No,No,No,No sabe/no contesta,14 a 16,Córdoba,Sin datos,Femenino,No refiere,No,No,Sin dato/no contesta,0,No refiere,,No refiere,Sin dato/no contesta,No,Sí,Salta,Explotación sexual,Línea 145,Internet,Protex,2018-06-25,14,,,66
2018-06-25,Sí,No,Sí,Femenino,0 a 13,Chubut,Sin datos,Femenino,16 a 17 (específico para trabajo adolescente),No,No,Buenos Aires,2,Argentina,,0 a 13,Buenos Aires,No,No,Buenos Aires,Explotación sexual,Línea 145,Otros,Protex,2018-06-25,26,6,6,6
2018-06-25,No,No,No,No sabe/no contesta,0 a 13,Córdoba,Sin datos,Masculino,26 a 40,No,No,Chubut,1,Argentina,,No refiere,Sin dato/no contesta,Sí,Sí,Chubut,Desaparición,Línea 145,Internet,Protex,2018-06-25,14,26,,26
2018-06-26,No,No,No,No sabe/no contesta,0 a 13,Chubut,Sin datos,Femenino,14 a 16,No,No,Buenos Aires,3,Argentina,,14 a 16,Sin dato/no contesta,No,No,Buenos Aires,Grooming,Línea 145,Otros,Protex,2018-06-26,26,6,,6
2018-06-26,No,No,Sí,Femenino,26 a 40,Ciudad Autónoma de Buenos Aires,Sí,Situaciones con hombres y mujeres o trans (varios),0 a 13,No,Sí,Ciudad Autónoma de Buenos Aires,17,Extranjera,,26 a 40,Ciudad Autónoma de Buenos Aires,Sí,No,Ciudad Autónoma de Buenos Aires,Explotación laboral,Línea 145,Otros,Fuerzas de seguridad federal,2018-06-26,,,,
2018-06-26,Sí,No,No,No sabe/no contesta,0 a 13,Chubut,Sin datos,Femenino,14 a 16,No,No,Buenos Aires,3,Argentina,,14 a 16,Sin dato/no contesta,No,No,Buenos Aires,Grooming,Correo institucional,Otros,Protex,2018-06-26,26,6,,6
2018-06-26,Sí,No,No,Femenino,0 a 13,Sin dato/no contesta,Sin datos,Femenino,0 a 13,No,No,Mendoza,4,Argentina,,0 a 13,Neuquén,Sí,No,Neuquén,Explotación sexual,Línea 145,ONG - Organismos nacionales,Protex,2018-06-26,,50,58,58
2018-06-26,Sí,No,Sí,No sabe/no contesta,No refiere,Sin dato/no contesta,No,No sabe/no contesta,No refiere,No,No,Sin dato/no contesta,0,No refiere,,No refiere,Sin dato/no contesta,No,No,Sin dato/no contesta,Posible trata de personas (hecho indefinido),Línea 145,Otros,Protex,2018-06-26,,,,
2018-06-26,No,No,Sí,No sabe/no contesta,0 a 13,Chubut,Sin datos,No sabe/no contesta,No refiere,No,No,Sin dato/no contesta,0,No refiere,,No refiere,Sin dato/no contesta,No,No,Internet,Posible captación,Línea 145,Capacitación,Área legal para judicializar,2018-06-26,26,,,
2018-06-26,No,No,No,No sabe/no contesta,0 a 13,Chubut,Sí,Femenino,18 a 25,No,No,Ciudad Autónoma de Buenos Aires,2,Argentina,,14 a 16,Ciudad Autónoma de Buenos Aires,No,No,Ciudad Autónoma de Buenos Aires,Venta de niños y otros delitos,Línea 145,Otros,Juzgado / Fiscalía,2018-06-26,26,,,
2018-06-27,No,No,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,No,No sabe/no contesta,No refiere,No,No,Sin dato/no contesta,0,No refiere,,No refiere,Internet,No,No,Sin dato/no contesta,Posible captación,Correo institucional,Otros,Protex,2018-06-27,,,,
2018-06-27,Sí,No,No,Femenino,14 a 16,Sin dato/no contesta,Sin datos,Masculino,No refiere,No,No,Catamarca,50,No refiere,,14 a 16,Catamarca,Sí,Sí,Catamarca,Explotación laboral,Línea 145,Otros,Protex,2018-06-27,,10,10,10
2018-06-27,No,No,No,Femenino,0 a 13,Chubut,Sí,Femenino,26 a 40,No,No,Formosa,1,Argentina,,14 a 16,Ciudad Autónoma de Buenos Aires,No,No,Ciudad Autónoma de Buenos Aires,Posible captación,Línea 145,Otros,Fuerzas de seguridad federal,2018-06-27,26,34,,
2018-06-27,No,No,Sí,No sabe/no contesta,0 a 13,Córdoba,Sí,Femenino,18 a 25,No,No,Ciudad Autónoma de Buenos Aires,2,No refiere,,No refiere,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,Internet,Área legal para judicializar,2018-06-27,14,,,
2018-06-27,Sí,No,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,26 a 40,No,No,Formosa,1,No refiere,,14 a 16,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Posible captación,Línea 145,Otros,Fuerzas de seguridad federal,2018-06-27,,34,,
2018-06-27,No,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Situaciones con hombres y mujeres o trans (varios),No refiere,No,No,Mendoza,4,Argentina,,14 a 16,Mendoza,No,No,Mendoza,Explotación laboral,Línea 145,Otros,Área legal para judicializar,2018-06-27,,50,50,50
2018-06-27,No,No,No,No sabe/no contesta,0 a 13,Chaco,Sí,No sabe/no contesta,No refiere,No,No,Sin dato/no contesta,0,No refiere,,No refiere,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Posible trata de personas (hecho indefinido),Línea 145,Campañas del programa,Área legal para judicializar,2018-06-27,22,,,
2018-06-27,Sí,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sí,No sabe/no contesta,No refiere,No,No,Ciudad Autónoma de Buenos Aires,1,Argentina,,No refiere,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Posible trata de personas (hecho indefinido),Línea 145,Internet,Área legal para judicializar,2018-06-28,,,,
2018-06-28,No,No,No,No sabe/no contesta,14 a 16,Chubut,Sin datos,Masculino,0 a 13,No,No,Buenos Aires,0,No refiere,,No refiere,Buenos Aires,No,No,Buenos Aires,"Explotación sexual niñas, niños y adolescentes",Línea 145,Otros,Fuerzas de seguridad federal,2018-06-28,26,6,6,6
2018-06-28,Sí,No,Sí,No sabe/no contesta,14 a 16,Chaco,Sí,Femenino,No refiere,No,No,Sin dato/no contesta,0,No refiere,,No refiere,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Posible trata de personas (hecho indefinido),Línea 145,Internet,Área legal para judicializar,2018-06-28,22,,,
2018-06-28,No,No,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sí,Femenino,No refiere,No,No,Ciudad Autónoma de Buenos Aires,0,Extranjera,,No refiere,Sin dato/no contesta,Sí,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Correo institucional,ONG - Organismos nacionales,Área legal para judicializar,2018-06-28,,,,
2018-06-28,Sí,No,Sí,No sabe/no contesta,0 a 13,Corrientes,Sí,Femenino,16 a 17 (específico para trabajo adolescente),No,No,Ciudad Autónoma de Buenos Aires,0,No refiere,,14 a 16,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Posible trata de personas (hecho indefinido),Línea 145,ONG - Organismos nacionales,Área legal para judicializar,2018-06-28,18,,,
2018-06-28,No,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sí,Femenino,No refiere,No,No,Varias víctimas oriundas de diversas provincias,0,Argentina,,14 a 16,Buenos Aires,No,No,Otro país donde ocurre el hecho,Posible trata de personas (hecho indefinido),Línea 145,Otros,Fuerzas de seguridad federal,2018-06-28,,,6,
2018-06-28,No,No,No,No sabe/no contesta,0 a 13,Chaco,Sin datos,Femenino,18 a 25,No,No,Buenos Aires,4,Argentina,,14 a 16,Buenos Aires,Sí,No,Buenos Aires,Explotación sexual,Línea 145,ONG - Organismos nacionales,Fuerzas de seguridad federal,2018-06-28,22,6,6,6
2018-06-28,Sí,No,Sí,No sabe/no contesta,0 a 13,Chubut,Sí,Femenino,No refiere,No,No,Sin dato/no contesta,2,No refiere,,0 a 13,Sin dato/no contesta,Sí,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,ONG - Organismos nacionales,Area legal ya judicializada,2018-06-28,26,,,
2018-06-29,No,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Situaciones con hombres y mujeres o trans (varios),14 a 16,No,No,Buenos Aires,0,Argentina,,No refiere,Buenos Aires,No,No,Buenos Aires,Explotación sexual,Línea 145,Internet,Protex,2018-06-29,,6,6,6
2018-06-29,No,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,No refiere,No,No,Sin dato/no contesta,2,Argentina,,No refiere,Córdoba,No,No,Córdoba,Explotación sexual,Línea 145,Otros,Fuerzas de seguridad federal,2018-06-29,,,14,14
2018-06-29,No,No,Sí,No sabe/no contesta,14 a 16,Córdoba,Sí,Femenino,18 a 25,No,No,Ciudad Autónoma de Buenos Aires,3,Extranjera,,0 a 13,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,Internet,Área legal para judicializar,2018-06-29,14,,,
2018-06-29,Sí,No,No,Femenino,0 a 13,Chaco,Sin datos,Femenino,18 a 25,No,No,Buenos Aires,7,Argentina,,14 a 16,Misiones,No,No,Buenos Aires,Explotación sexual,Línea 145,Otros,Fuerzas de seguridad federal,2018-06-29,22,6,54,6
2018-06-29,Sí,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sí,Femenino,16 a 17 (específico para trabajo adolescente),No,No,Sin dato/no contesta,0,No refiere,,0 a 13,Sin dato/no contesta,Sí,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,Otros,Área legal para judicializar,2018-06-29,,,,
2018-06-29,No,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Situaciones con hombres y mujeres o trans (varios),14 a 16,No,No,Córdoba,0,Argentina,,14 a 16,Córdoba,No,No,Sin dato/no contesta,Posible trata de personas (hecho indefinido),Línea 145,Otros,Protex,2018-06-29,,14,14,
2018-06-29,No,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sí,Femenino,16 a 17 (específico para trabajo adolescente),No,No,Sin dato/no contesta,2,Extranjera,,No refiere,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,Otros,Fuerzas de seguridad federal,2018-06-29,,,,
2018-06-29,Sí,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sí,Femenino,18 a 25,No,No,Ciudad Autónoma de Buenos Aires,2,No refiere,,No refiere,Ciudad Autónoma de Buenos Aires,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Correo institucional,Otros,Area legal ya judicializada,2018-06-29,,,,
2018-06-29,No,No,No,Femenino,0 a 13,Sin dato/no contesta,Sin datos,Situaciones con hombres y mujeres o trans (varios),0 a 13,No,No,Varias víctimas oriundas de diversas provincias,6,No refiere,,0 a 13,Corrientes,No,No,Salta,Posible trata de personas (hecho indefinido),Línea 145,Otros,Protex,2018-06-30,,,18,66
2018-06-29,Sí,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sí,Femenino,18 a 25,No,No,Ciudad Autónoma de Buenos Aires,2,No refiere,,No refiere,Ciudad Autónoma de Buenos Aires,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Correo institucional,Otros,Area legal ya judicializada,2018-06-29,,,,
